iter	RMSE
134	2.687084212
135	2.681420691
136	2.675770566
137	2.669791706
138	2.663915977
139	2.659149973
140	2.654227202
141	2.649135095
142	2.644378996
143	2.639799013
144	2.635464004
145	2.6318997
146	2.62704201
147	2.623397495
148	2.619726327
149	2.615466042
150	2.611493141
151	2.606143335
152	2.602178757
153	2.597470206
154	2.593120402
155	2.589098129
156	2.584566954
157	2.580533896
158	2.576474743
159	2.573136854
160	2.568327823
161	2.564416138
162	2.560034121
163	2.556970316
164	2.553091723
165	2.54945695
166	2.545651914
167	2.542512854
168	2.539518029
169	2.535463342
170	2.531680711
171	2.527917854
172	2.523489869
173	2.520078965
174	2.516003469
175	2.512824455
176	2.509985647
177	2.507487222
178	2.504558965
179	2.501611764
180	2.497245152
181	2.494688822
182	2.491354781
183	2.488609234
184	2.485156669
185	2.482113201
186	2.480071776
187	2.476766954
188	2.474328684
189	2.471662129
190	2.468704857
191	2.465914569
192	2.461639599
193	2.458844806
194	2.455134245
195	2.452590609
196	2.448996479
197	2.446850687
198	2.444919212
199	2.441873756
200	2.43965114
201	2.437452775
202	2.43450403
203	2.43268997
204	2.430474204
205	2.42859964
206	2.426140198
207	2.423931856
208	2.420507257
209	2.418418328
210	2.415274369
211	2.412768906
212	2.410224743
213	2.408097603
214	2.40606866
215	2.403209612
216	2.401296147
217	2.398465512
218	2.395572157
219	2.392061137
220	2.38964256
221	2.386757887
222	2.384437691
223	2.382245763
224	2.379471734
225	2.376825956
226	2.373776047
227	2.372209173
228	2.370173102
229	2.368165622
230	2.364918698
231	2.362354941
232	2.359889291
233	2.357709507
234	2.355706729
235	2.353337348
236	2.350449303
237	2.348654186
238	2.346330381
239	2.344607442
240	2.342502855
241	2.339706279
242	2.336406962
243	2.334403703
244	2.331889669
245	2.329479362
246	2.32707284
247	2.324871297
248	2.322734941
249	2.320563399
250	2.317718199
251	2.315475957
252	2.31323654
253	2.311251805
254	2.309096656
255	2.3072554
256	2.305046124
257	2.303526064
258	2.301216373
259	2.299939651
260	2.297639306
261	2.295665383
262	2.293551748
263	2.290977896
264	2.288789924
265	2.286517489
266	2.284708541
267	2.282163554
268	2.280025934
269	2.277870917
270	2.275736391
271	2.273895496
272	2.271866494
273	2.269908314
274	2.268264959
275	2.265775975
276	2.263468291
277	2.261487581
278	2.259892172
279	2.258088726
280	2.255996547
281	2.253977153
282	2.252238787
283	2.250685347
284	2.249270997
285	2.247450879
286	2.245922933
287	2.24400332
288	2.242195451
289	2.240658009
290	2.238819575
291	2.237230597
292	2.235537603
293	2.233733965
294	2.231580366
295	2.230144181
296	2.228745252
297	2.226765119
298	2.224426629
299	2.222655714
300	2.221140335
301	2.219578348
302	2.218002771
303	2.21667302
304	2.214705668
305	2.213386738
306	2.211757987
307	2.210337805
308	2.208519726
309	2.206670168
310	2.205001263
311	2.203849594
312	2.201995234
313	2.200190662
314	2.198815029
315	2.197114248
316	2.195516849
317	2.194410982
318	2.193088874
319	2.191687228
320	2.190309258
321	2.188805075
322	2.187418661
323	2.185894977
324	2.184356937
325	2.182596677
326	2.180982407
327	2.179544028
328	2.178059737
329	2.17654638
330	2.174995147
331	2.173527229
332	2.171928859
333	2.170632993
334	2.169349943
335	2.167874886
336	2.166143616
337	2.164805012
338	2.163512655
339	2.161975126
340	2.160659578
341	2.159165331
342	2.157556534
343	2.156319131
344	2.155145485
345	2.15367203
346	2.152039292
347	2.15086664
348	2.149488948
349	2.147981968
350	2.146510971
351	2.145188766
352	2.143439778
353	2.141778361
354	2.140344759
355	2.138977237
356	2.137633424
357	2.136262956
358	2.13500113
359	2.133801806
360	2.132220292
361	2.130828497
362	2.129203229
363	2.127666098
364	2.126297886
365	2.125441992
366	2.124176685
367	2.122897517
368	2.12133012
369	2.119551879
370	2.118232347
371	2.117013355
372	2.115910059
373	2.114127706
374	2.112887973
375	2.111519498
376	2.109903401
377	2.108997067
378	2.107987858
379	2.106463046
380	2.10532858
381	2.103934821
382	2.102512986
383	2.10117483
384	2.099816455
385	2.098539721
386	2.097177199
387	2.096040362
388	2.094964497
389	2.093845472
390	2.092494511
391	2.09137373
392	2.09046463
393	2.089277478
394	2.088079987
395	2.086790081
396	2.085106315
397	2.084095986
398	2.083040034
399	2.081806334
400	2.080782596
401	2.079877565
402	2.078623822
403	2.077438277
404	2.076484712
405	2.075599875
406	2.074327962
407	2.073437148
408	2.072116215
409	2.070961006
410	2.069796648
411	2.068265951
412	2.067264437
413	2.066031749
414	2.065018359
415	2.063922788
416	2.062790209
417	2.060778805
418	2.05925596
419	2.057550675
420	2.056510009
